"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Checking the logout on an invalid token","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
"","13","Checking that the token is not valid after logging out","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
"","26","test_check_health[service4]","tests","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:49 UTC 2025","TestHealth","test_api_health","",""
"","0","Checking the response on the missing token","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
"","26","test_check_health[service2]","tests","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestHealth","test_api_health","",""
"","51","User logs in with valid credentials and receives token","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
"","6","Checking the response using an invalid token","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
"","31","test_check_health[service3]","tests","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestHealth","test_api_health","",""
"","26","test_check_health[service5]","tests","Mon Dec 29 13:25:49 UTC 2025","passed","Mon Dec 29 13:25:49 UTC 2025","TestHealth","test_api_health","",""
"","8","Checking the logout","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
"","13","Checking the response to see if the token is valid","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
"","24","test_check_health[service0]","tests","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestHealth","test_api_health","",""
"","29","test_check_health[service1]","tests","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestHealth","test_api_health","",""
"","10","Checking logout after logout","tests.auth","Mon Dec 29 13:25:48 UTC 2025","passed","Mon Dec 29 13:25:48 UTC 2025","TestAuthentication","test_authentication","",""
